Command,Link,Description
show ap mesh cluster stats,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-sts.htm,This command displays the radio and mesh statistics of the mesh AP at the defined IP address.
show ap mesh cluster status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-stat.htm,This command displays the status of the mesh cluster and mobility mesh point.
show ap mesh cluster topology,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-clst-topo.htm,This command displays the topology information of the mesh APs in the cluster.
show ap mesh counters,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mesh-count.htm,This command displays the mesh counters for AP. Use the output of this command to view a list of mesh counters available for AP.
show ap mesh link,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mesh-link.htm,This command displays the mesh link information of the AP.
show ap mesh neighbors,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mesh-neigh.htm,This command displays all mesh neighbours for AP.
show ap mesh topology,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-msh-topo.htm,This command displays the mesh topology tree including the names of a mesh portal’s children in the output of this command.
show ap monitor status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor.htm,This command shows information for Aruba Air Monitors.
show ap monitor ap-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-ap-list.htm,This command displays the list of APs being monitored.
show ap monitoe ap- list containment exclusion,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-mon-excl.htm,This command displays the details of the APs exempted from containment.
show ap monitor active-laser-beams,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mtr-act-lsr-bms.htm,"This command displays active laser beam generators. The output of this command displays a list of all APs that are actively performing policy enforcement containment such as rogue containment. This command can tell us which AP is sending out deauthorization frames, although it does not specify which AP is being contained."
show ap monitor arp-cache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mtr-arp-cache.htm,This command displays ARP Cache of learned IP to MAC binding for Aruba Air Monitors.
show ap monitor containment-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-cnt-inf.htm,This command displays containment events and counters triggered by the wired containment and wireless containment features configured in the ids general-profile.
show ap monitor pot-ap-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-pot-aplist.htm,This command displays the Potential AP table information.
show ap monitor pot-sta-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-pot-stlist.htm,This command displays the potential client table with the following values:
show ap monitor routers,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-router.htm,"This command displays router MAC Addresses learned. The output of this command includes the router’s MAC address, IP address and uptime."
show ap monitor scan-info,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-scan-inf.htm,This command displays AP scanning information.
show ap monitor sta-list,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-monitor-instant.htm,This command displays the configuration and status of monitor information of the AP.
show ap mpskcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-mpskcache.htm,This command displays the multiple PSK local cache table for clients associated with the AP.
show ap onboarding event,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-onbrd-evnt.htm,This command displays the details of the onboarding event history when a device connects to the network.
show ap onboarding status,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/a10-sh-ap-onbrd-st.htm,This command displays the status of onboarding event when a device connects to the network.
show ap pmkcache,https://www.arubanetworks.com/techdocs/CLI-Bank/Content/aos10/sh-ap-pmkcache.htm,This command displays the PMK cache table for clients associated with the AP.
